year,stage,group,home_team,away_team,home_score,away_score,score_info
1954,Third Place Match,,Austria,Uruguay,3.0,1.0,
1954,Final,,West Germany,Hungary,3.0,2.0,
1958,Group Stage,Group 1,Argentina,West Germany,1.0,3.0,
1958,Group Stage,Group 1,Northern Ireland,Czechoslovakia,1.0,0.0,
1958,Group Stage,Group 1,West Germany,Czechoslovakia,2.0,2.0,
1958,Group Stage,Group 1,Argentina,Northern Ireland,3.0,1.0,
1958,Group Stage,Group 1,West Germany,Northern Ireland,2.0,2.0,
1958,Group Stage,Group 1,Czechoslovakia,Argentina,6.0,1.0,
1958,Group Stage,Group 1,Northern Ireland,Czechoslovakia,2.0,1.0, a.e.t. 
1958,Group Stage,Group 2,France,Paraguay,7.0,3.0,
1958,Group Stage,Group 2,Yugoslavia,Scotland,1.0,1.0,
1958,Group Stage,Group 2,Yugoslavia,France,3.0,2.0,
1958,Group Stage,Group 2,Paraguay,Scotland,3.0,2.0,
1958,Group Stage,Group 2,France,Scotland,2.0,1.0,
1958,Group Stage,Group 2,Paraguay,Yugoslavia,3.0,3.0,
1958,Group Stage,Group 3,Sweden,Mexico,3.0,0.0,
1958,Group Stage,Group 3,Hungary,Wales,1.0,1.0,
1958,Group Stage,Group 3,Mexico,Wales,1.0,1.0,
1958,Group Stage,Group 3,Sweden,Hungary,2.0,1.0,
1958,Group Stage,Group 3,Sweden,Wales,0.0,0.0,
1958,Group Stage,Group 3,Hungary,Mexico,4.0,0.0,
1958,Group Stage,Group 3,Wales,Hungary,2.0,1.0,
1958,Group Stage,Group 4,Brazil,Austria,3.0,0.0,
1958,Group Stage,Group 4,Soviet Union,England,2.0,2.0,
1958,Group Stage,Group 4,Brazil,England,0.0,0.0,
1958,Group Stage,Group 4,Soviet Union,Austria,2.0,0.0,
1958,Group Stage,Group 4,England,Austria,2.0,2.0,
1958,Group Stage,Group 4,Brazil,Soviet Union,2.0,0.0,
1958,Group Stage,Group 4,Soviet Union,England,1.0,0.0,
1958,Quarterfinals,,Brazil,Wales,1.0,0.0,
1958,Quarterfinals,,France,Northern Ireland,4.0,0.0,
1958,Quarterfinals,,Sweden,Soviet Union,2.0,0.0,
1958,Quarterfinals,,West Germany,Yugoslavia,1.0,0.0,
1958,Semifinals,,Brazil,France,5.0,2.0,
1958,Semifinals,,Sweden,West Germany,3.0,1.0,
1958,Third Place Match,,France,West Germany,6.0,3.0,
1958,Final,,Brazil,Sweden,5.0,2.0,
1962,Group Stage,Group 1,Uruguay,Colombia,2.0,1.0,
1962,Group Stage,Group 1,Soviet Union,Yugoslavia,2.0,0.0,
1962,Group Stage,Group 1,Yugoslavia,Uruguay,3.0,1.0,
1962,Group Stage,Group 1,Soviet Union,Colombia,4.0,4.0,
1962,Group Stage,Group 1,Soviet Union,Uruguay,2.0,1.0,
1962,Group Stage,Group 1,Yugoslavia,Colombia,5.0,0.0,
1962,Group Stage,Group 2,Chile,Switzerland,3.0,1.0,
1962,Group Stage,Group 2,West Germany,Italy,0.0,0.0,
1962,Group Stage,Group 2,Chile,Italy,2.0,0.0,
1962,Group Stage,Group 2,West Germany,Switzerland,2.0,1.0,
1962,Group Stage,Group 2,West Germany,Chile,2.0,0.0,
1962,Group Stage,Group 2,Italy,Switzerland,3.0,0.0,
1962,Group Stage,Group 3,Brazil,Mexico,2.0,0.0,
1962,Group Stage,Group 3,Czechoslovakia,Spain,1.0,0.0,
1962,Group Stage,Group 3,Brazil,Czechoslovakia,0.0,0.0,
1962,Group Stage,Group 3,Spain,Mexico,1.0,0.0,
1962,Group Stage,Group 3,Brazil,Spain,2.0,1.0,
1962,Group Stage,Group 3,Mexico,Czechoslovakia,3.0,1.0,
1962,Group Stage,Group 4,Argentina,Bulgaria,1.0,0.0,
1962,Group Stage,Group 4,Hungary,England,2.0,1.0,
1962,Group Stage,Group 4,England,Argentina,3.0,1.0,
1962,Group Stage,Group 4,Hungary,Bulgaria,6.0,1.0,
1962,Group Stage,Group 4,Hungary,Argentina,0.0,0.0,
1962,Group Stage,Group 4,England,Bulgaria,0.0,0.0,
1962,Quarterfinals,,Chile,Soviet Union,2.0,1.0,
1962,Quarterfinals,,Czechoslovakia,Hungary,1.0,0.0,
1962,Quarterfinals,,Brazil,England,3.0,1.0,
1962,Quarterfinals,,Yugoslavia,West Germany,1.0,0.0,
1962,Semifinals,,Czechoslovakia,Yugoslavia,3.0,1.0,
1962,Semifinals,,Brazil,Chile,4.0,2.0,
1962,Third Place Match,,Chile,Yugoslavia,1.0,0.0,
1962,Final,,Brazil,Czechoslovakia,3.0,1.0,
1966,Group Stage,Group 1,England,Uruguay,0.0,0.0,
1966,Group Stage,Group 1,France,Mexico,1.0,1.0,
1966,Group Stage,Group 1,Uruguay,France,2.0,1.0,
1966,Group Stage,Group 1,England,Mexico,2.0,0.0,
1966,Group Stage,Group 1,Mexico,Uruguay,0.0,0.0,
1966,Group Stage,Group 1,England,France,2.0,0.0,
1966,Group Stage,Group 2,West Germany,Switzerland,5.0,0.0,
1966,Group Stage,Group 2,Argentina,Spain,2.0,1.0,
1966,Group Stage,Group 2,Spain,Switzerland,2.0,1.0,
1966,Group Stage,Group 2,Argentina,West Germany,0.0,0.0,
1966,Group Stage,Group 2,Argentina,Switzerland,2.0,0.0,
1966,Group Stage,Group 2,West Germany,Spain,2.0,1.0,
1966,Group Stage,Group 3,Brazil,Bulgaria,2.0,0.0,
1966,Group Stage,Group 3,Portugal,Hungary,3.0,1.0,
1966,Group Stage,Group 3,Hungary,Brazil,3.0,1.0,
1966,Group Stage,Group 3,Portugal,Bulgaria,3.0,0.0,
1966,Group Stage,Group 3,Portugal,Brazil,3.0,1.0,
1966,Group Stage,Group 3,Hungary,Bulgaria,3.0,1.0,
1966,Group Stage,Group 4,Soviet Union,North Korea,3.0,0.0,
1966,Group Stage,Group 4,Italy,Chile,2.0,0.0,
1966,Group Stage,Group 4,Chile,North Korea,1.0,1.0,
1966,Group Stage,Group 4,Soviet Union,Italy,1.0,0.0,
1966,Group Stage,Group 4,North Korea,Italy,1.0,0.0,
1966,Group Stage,Group 4,Soviet Union,Chile,2.0,1.0,
1966,Quarterfinals,,England,Argentina,1.0,0.0,
1966,Quarterfinals,,West Germany,Uruguay,4.0,0.0,
1966,Quarterfinals,,Soviet Union,Hungary,2.0,1.0,
1966,Quarterfinals,,Portugal,North Korea,5.0,3.0,
1966,Semifinals,,West Germany,Soviet Union,2.0,1.0,
1966,Semifinals,,England,Portugal,2.0,1.0,
1966,Third Place Match,,Portugal,Soviet Union,2.0,1.0,
1966,Final,,England,West Germany,4.0,2.0, a.e.t. 
1970,Group Stage,Group 1,Mexico,Soviet Union,0.0,0.0,
1970,Group Stage,Group 1,Belgium,El Salvador,3.0,0.0,
1970,Group Stage,Group 1,Soviet Union,Belgium,4.0,1.0,
1970,Group Stage,Group 1,Mexico,El Salvador,4.0,0.0,
1970,Group Stage,Group 1,Soviet Union,El Salvador,2.0,0.0,
1970,Group Stage,Group 1,Mexico,Belgium,1.0,0.0,
1970,Group Stage,Group 2,Uruguay,Israel,2.0,0.0,
1970,Group Stage,Group 2,Italy,Sweden,1.0,0.0,
1970,Group Stage,Group 2,Uruguay,Italy,0.0,0.0,
1970,Group Stage,Group 2,Sweden,Israel,1.0,1.0,
1970,Group Stage,Group 2,Sweden,Uruguay,1.0,0.0,
1970,Group Stage,Group 2,Italy,Israel,0.0,0.0,
1970,Group Stage,Group 3,England,Romania,1.0,0.0,
1970,Group Stage,Group 3,Brazil,Czechoslovakia,4.0,1.0,
1970,Group Stage,Group 3,Romania,Czechoslovakia,2.0,1.0,
1970,Group Stage,Group 3,Brazil,England,1.0,0.0,
1970,Group Stage,Group 3,Brazil,Romania,3.0,2.0,
1970,Group Stage,Group 3,England,Czechoslovakia,1.0,0.0,
1970,Group Stage,Group 4,Peru,Bulgaria,3.0,2.0,
1970,Group Stage,Group 4,West Germany,Morocco,2.0,1.0,
1970,Group Stage,Group 4,Peru,Morocco,3.0,0.0,
1970,Group Stage,Group 4,West Germany,Bulgaria,5.0,2.0,
1970,Group Stage,Group 4,West Germany,Peru,3.0,1.0,
1970,Group Stage,Group 4,Bulgaria,Morocco,1.0,1.0,
1970,Quarterfinals,,Soviet Union,Uruguay,0.0,1.0, a.e.t. 
1970,Quarterfinals,,Italy,Mexico,4.0,1.0,
1970,Quarterfinals,,Brazil,Peru,4.0,2.0,
1970,Quarterfinals,,West Germany,England,3.0,2.0, a.e.t. 
1970,Semifinals,,Brazil,Uruguay,3.0,1.0,
1970,Semifinals,,Italy,West Germany,4.0,3.0, a.e.t. 
1970,Third Place Match,,West Germany,Uruguay,1.0,0.0,
1970,Final,,Brazil,Italy,4.0,1.0,
1974,Group Stage,Group 1,West Germany,Chile,1.0,0.0,
1974,Group Stage,Group 1,East Germany,Australia,2.0,0.0,
1974,Group Stage,Group 1,Australia,West Germany,0.0,3.0,
1974,Group Stage,Group 1,Chile,East Germany,1.0,1.0,
1974,Group Stage,Group 1,Australia,Chile,0.0,0.0,
1974,Group Stage,Group 1,East Germany,West Germany,1.0,0.0,
1974,Group Stage,Group 2,Brazil,Yugoslavia,0.0,0.0,
1974,Group Stage,Group 2,Zaire,Scotland,0.0,2.0,
1974,Group Stage,Group 2,Yugoslavia,Zaire,9.0,0.0,
1974,Group Stage,Group 2,Scotland,Brazil,0.0,0.0,
1974,Group Stage,Group 2,Scotland,Yugoslavia,1.0,1.0,
1974,Group Stage,Group 2,Zaire,Brazil,0.0,3.0,
1974,Group Stage,Group 3,Uruguay,Netherlands,0.0,2.0,
1974,Group Stage,Group 3,Sweden,Bulgaria,0.0,0.0,
1974,Group Stage,Group 3,Bulgaria,Uruguay,1.0,1.0,
1974,Group Stage,Group 3,Netherlands,Sweden,0.0,0.0,
1974,Group Stage,Group 3,Bulgaria,Netherlands,1.0,4.0,
1974,Group Stage,Group 3,Sweden,Uruguay,3.0,0.0,
1974,Group Stage,Group 4,Italy,Haiti,3.0,1.0,
1974,Group Stage,Group 4,Poland,Argentina,3.0,2.0,
1974,Group Stage,Group 4,Argentina,Italy,1.0,1.0,
1974,Group Stage,Group 4,Haiti,Poland,0.0,7.0,
1974,Group Stage,Group 4,Argentina,Haiti,4.0,1.0,
1974,Group Stage,Group 4,Poland,Italy,2.0,1.0,
1974,Group Stage,Group A,Netherlands,Argentina,4.0,0.0,
1974,Group Stage,Group A,Brazil,East Germany,1.0,0.0,
1974,Group Stage,Group A,Argentina,Brazil,1.0,2.0,
1974,Group Stage,Group A,East Germany,Netherlands,0.0,2.0,
1974,Group Stage,Group A,Argentina,East Germany,1.0,1.0,
1974,Group Stage,Group A,Netherlands,Brazil,2.0,0.0,
1974,Group Stage,Group B,Yugoslavia,West Germany,0.0,2.0,
1974,Group Stage,Group B,Sweden,Poland,0.0,1.0,
1974,Group Stage,Group B,Poland,Yugoslavia,2.0,1.0,
1974,Group Stage,Group B,West Germany,Sweden,4.0,2.0,
1974,Group Stage,Group B,Poland,West Germany,0.0,1.0,
1974,Group Stage,Group B,Sweden,Yugoslavia,2.0,1.0,
1974,Third Place Match,,Brazil,Poland,0.0,1.0,
1974,Final,,Netherlands,West Germany,1.0,2.0,
1978,Group Stage,Group 1,Italy,France,2.0,1.0,
1978,Group Stage,Group 1,Argentina,Hungary,2.0,1.0,
1978,Group Stage,Group 1,Italy,Hungary,3.0,1.0,
1978,Group Stage,Group 1,Argentina,France,2.0,1.0,
1978,Group Stage,Group 1,France,Hungary,3.0,1.0,
1978,Group Stage,Group 1,Argentina,Italy,0.0,1.0,
1978,Group Stage,Group 2,West Germany,Poland,0.0,0.0,
1978,Group Stage,Group 2,Tunisia,Mexico,3.0,1.0,
1978,Group Stage,Group 2,West Germany,Mexico,6.0,0.0,
1978,Group Stage,Group 2,Poland,Tunisia,1.0,0.0,
1978,Group Stage,Group 2,West Germany,Tunisia,0.0,0.0,
1978,Group Stage,Group 2,Poland,Mexico,3.0,1.0,
1978,Group Stage,Group 3,Austria,Spain,2.0,1.0,
1978,Group Stage,Group 3,Brazil,Sweden,1.0,1.0,
1978,Group Stage,Group 3,Austria,Sweden,1.0,0.0,
1978,Group Stage,Group 3,Brazil,Spain,0.0,0.0,
1978,Group Stage,Group 3,Spain,Sweden,1.0,0.0,
1978,Group Stage,Group 3,Brazil,Austria,1.0,0.0,
1978,Group Stage,Group 4,Peru,Scotland,3.0,1.0,
1978,Group Stage,Group 4,Netherlands,Iran,3.0,0.0,
1978,Group Stage,Group 4,Scotland,Iran,1.0,1.0,
1978,Group Stage,Group 4,Netherlands,Peru,0.0,0.0,
1978,Group Stage,Group 4,Peru,Iran,4.0,1.0,
1978,Group Stage,Group 4,Scotland,Netherlands,3.0,2.0,
1978,Group Stage,Group A,Austria,Netherlands,1.0,5.0,
1978,Group Stage,Group A,Italy,West Germany,0.0,0.0,
1978,Group Stage,Group A,Netherlands,West Germany,2.0,2.0,
1978,Group Stage,Group A,Italy,Austria,1.0,0.0,
1978,Group Stage,Group A,Austria,West Germany,3.0,2.0,
1978,Group Stage,Group A,Italy,Netherlands,1.0,2.0,
1978,Group Stage,Group B,Brazil,Peru,3.0,0.0,
1978,Group Stage,Group B,Argentina,Poland,2.0,0.0,
1978,Group Stage,Group B,Peru,Poland,0.0,1.0,
1978,Group Stage,Group B,Argentina,Brazil,0.0,0.0,
1978,Group Stage,Group B,Brazil,Poland,3.0,1.0,
1978,Group Stage,Group B,Argentina,Peru,6.0,0.0,
1978,Third Place Match,,Brazil,Italy,2.0,1.0,
1978,Final,,Argentina,Netherlands,3.0,1.0, a.e.t. 
1982,Group Stage,Group 1,Italy,Poland,0.0,0.0,
1982,Group Stage,Group 1,Peru,Cameroon,0.0,0.0,
1982,Group Stage,Group 1,Italy,Peru,1.0,1.0,
1982,Group Stage,Group 1,Poland,Cameroon,0.0,0.0,
1982,Group Stage,Group 1,Poland,Peru,5.0,1.0,
1982,Group Stage,Group 1,Italy,Cameroon,1.0,1.0,
1982,Group Stage,Group 2,West Germany,Algeria,1.0,2.0,
1982,Group Stage,Group 2,Chile,Austria,0.0,1.0,
1982,Group Stage,Group 2,West Germany,Chile,4.0,1.0,
1982,Group Stage,Group 2,Algeria,Austria,0.0,2.0,
1982,Group Stage,Group 2,Algeria,Chile,3.0,2.0,
1982,Group Stage,Group 2,West Germany,Austria,1.0,0.0,
1982,Group Stage,Group 3,Argentina,Belgium,0.0,1.0,
1982,Group Stage,Group 3,Hungary,El Salvador,10.0,1.0,
1982,Group Stage,Group 3,Argentina,Hungary,4.0,1.0,
1982,Group Stage,Group 3,Belgium,El Salvador,1.0,0.0,
1982,Group Stage,Group 3,Belgium,Hungary,1.0,1.0,
1982,Group Stage,Group 3,Argentina,El Salvador,2.0,0.0,
1982,Group Stage,Group 4,England,France,3.0,1.0,
1982,Group Stage,Group 4,Czechoslovakia,Kuwait,1.0,1.0,
1982,Group Stage,Group 4,England,Czechoslovakia,2.0,0.0,
1982,Group Stage,Group 4,France,Kuwait,4.0,1.0,
1982,Group Stage,Group 4,France,Czechoslovakia,1.0,1.0,
1982,Group Stage,Group 4,England,Kuwait,1.0,0.0,
1982,Group Stage,Group 5,Spain,Honduras,1.0,1.0,
1982,Group Stage,Group 5,Yugoslavia,Northern Ireland,0.0,0.0,
1982,Group Stage,Group 5,Spain,Yugoslavia,2.0,1.0,
1982,Group Stage,Group 5,Honduras,Northern Ireland,1.0,1.0,
1982,Group Stage,Group 5,Honduras,Yugoslavia,0.0,1.0,
1982,Group Stage,Group 5,Spain,Northern Ireland,0.0,1.0,
1982,Group Stage,Group 6,Brazil,Soviet Union,2.0,1.0,
1982,Group Stage,Group 6,Scotland,New Zealand,5.0,2.0,
1982,Group Stage,Group 6,Brazil,Scotland,4.0,1.0,
1982,Group Stage,Group 6,Soviet Union,New Zealand,3.0,0.0,
1982,Group Stage,Group 6,Soviet Union,Scotland,2.0,2.0,
1982,Group Stage,Group 6,Brazil,New Zealand,4.0,0.0,
1982,Group Stage,Group A,Poland,Belgium,3.0,0.0,
1982,Group Stage,Group A,Belgium,Soviet Union,0.0,1.0,
1982,Group Stage,Group A,Soviet Union,Poland,0.0,0.0,
1982,Group Stage,Group B,West Germany,England,0.0,0.0,
1982,Group Stage,Group B,West Germany,Spain,2.0,1.0,
1982,Group Stage,Group B,Spain,England,0.0,0.0,
1982,Group Stage,Group C,Italy,Argentina,2.0,1.0,
1982,Group Stage,Group C,Argentina,Brazil,1.0,3.0,
1982,Group Stage,Group C,Italy,Brazil,3.0,2.0,
1982,Group Stage,Group D,Austria,France,0.0,1.0,
1982,Group Stage,Group D,Austria,Northern Ireland,2.0,2.0,
1982,Group Stage,Group D,France,Northern Ireland,4.0,1.0,
1982,Semifinals,,Poland,Italy,0.0,2.0,
1982,Semifinals,,West Germany,France,3.0,3.0, a.e.t. 
1982,Third Place Match,,Poland,France,3.0,2.0,
1982,Final,,Italy,West Germany,3.0,1.0,
1986,Group Stage,Group A,Bulgaria,Italy,1.0,1.0,
1986,Group Stage,Group A,Argentina,South Korea,3.0,1.0,
1986,Group Stage,Group A,Italy,Argentina,1.0,1.0,
1986,Group Stage,Group A,South Korea,Bulgaria,1.0,1.0,
1986,Group Stage,Group A,South Korea,Italy,2.0,3.0,
1986,Group Stage,Group A,Argentina,Bulgaria,2.0,0.0,
1986,Group Stage,Group B,Belgium,Mexico,1.0,2.0,
1986,Group Stage,Group B,Paraguay,Iraq,1.0,0.0,
1986,Group Stage,Group B,Mexico,Paraguay,1.0,1.0,
1986,Group Stage,Group B,Iraq,Belgium,1.0,2.0,
1986,Group Stage,Group B,Paraguay,Belgium,2.0,2.0,
1986,Group Stage,Group B,Iraq,Mexico,0.0,1.0,
1986,Group Stage,Group C,Canada,France,0.0,1.0,
1986,Group Stage,Group C,Soviet Union,Hungary,6.0,0.0,
1986,Group Stage,Group C,France,Soviet Union,1.0,1.0,
1986,Group Stage,Group C,Hungary,Canada,2.0,0.0,
1986,Group Stage,Group C,Hungary,France,0.0,3.0,
1986,Group Stage,Group C,Soviet Union,Canada,2.0,0.0,
1986,Group Stage,Group D,Spain,Brazil,0.0,1.0,
1986,Group Stage,Group D,Algeria,Northern Ireland,1.0,1.0,
1986,Group Stage,Group D,Brazil,Algeria,1.0,0.0,
1986,Group Stage,Group D,Northern Ireland,Spain,1.0,2.0,
1986,Group Stage,Group D,Northern Ireland,Brazil,0.0,3.0,
1986,Group Stage,Group D,Algeria,Spain,0.0,3.0,
1986,Group Stage,Group E,Uruguay,West Germany,1.0,1.0,
1986,Group Stage,Group E,Scotland,Denmark,0.0,1.0,
1986,Group Stage,Group E,West Germany,Scotland,2.0,1.0,
1986,Group Stage,Group E,Denmark,Uruguay,6.0,1.0,
1986,Group Stage,Group E,Denmark,West Germany,2.0,0.0,
1986,Group Stage,Group E,Scotland,Uruguay,0.0,0.0,
1986,Group Stage,Group F,Morocco,Poland,0.0,0.0,
1986,Group Stage,Group F,Portugal,England,1.0,0.0,
1986,Group Stage,Group F,England,Morocco,0.0,0.0,
1986,Group Stage,Group F,Poland,Portugal,1.0,0.0,
1986,Group Stage,Group F,England,Poland,3.0,0.0,
1986,Group Stage,Group F,Portugal,Morocco,1.0,3.0,
1986,Round of 16,,Mexico,Bulgaria,2.0,0.0,
1986,Round of 16,,Soviet Union,Belgium,3.0,4.0, a.e.t. 
1986,Round of 16,,Brazil,Poland,4.0,0.0,
1986,Round of 16,,Argentina,Uruguay,1.0,0.0,
1986,Round of 16,,Italy,France,0.0,2.0,
1986,Round of 16,,Morocco,West Germany,0.0,1.0,
1986,Round of 16,,England,Paraguay,3.0,0.0,
1986,Round of 16,,Denmark,Spain,1.0,5.0,
1986,Quarterfinals,,Brazil,France,1.0,1.0, a.e.t. 
1986,Quarterfinals,,West Germany,Mexico,0.0,0.0, a.e.t. 
1986,Quarterfinals,,Argentina,England,2.0,1.0,
1986,Quarterfinals,,Spain,Belgium,1.0,1.0, a.e.t. 
1986,Semifinals,,France,West Germany,0.0,2.0,
1986,Semifinals,,Argentina,Belgium,2.0,0.0,
1986,Third Place Match,,Belgium,France,2.0,4.0, a.e.t. 
1986,Final,,Argentina,West Germany,3.0,2.0,
1990,Round of 16,,Cameroon,Colombia,2.0,1.0, a.e.t. 
1990,Round of 16,,Czechoslovakia,Costa Rica,4.0,1.0,
1990,Round of 16,,Brazil,Argentina,0.0,1.0,
1990,Round of 16,,West Germany,Netherlands,2.0,1.0,
1990,Round of 16,,Republic of Ireland,Romania,0.0,0.0, a.e.t. 
1990,Round of 16,,Italy,Uruguay,2.0,0.0,
1990,Round of 16,,Spain,Yugoslavia,1.0,2.0, a.e.t. 
1990,Round of 16,,England,Belgium,1.0,0.0, a.e.t. 
1990,Quarterfinals,,Argentina,Yugoslavia,0.0,0.0, a.e.t. 
1990,Quarterfinals,,Republic of Ireland,Italy,0.0,1.0,
1990,Quarterfinals,,Czechoslovakia,West Germany,0.0,1.0,
1990,Quarterfinals,,Cameroon,England,2.0,3.0, a.e.t. 
1990,Semifinals,,Argentina,Italy,1.0,1.0, a.e.t. 
1990,Semifinals,,West Germany,England,1.0,1.0, a.e.t. 
1990,Third Place Match,,Italy,England,2.0,1.0,
1990,Final,,West Germany,Argentina,1.0,0.0,
1994,Group Stage,Group A,United States,Switzerland,1.0,1.0,
1994,Group Stage,Group A,Colombia,Romania,1.0,3.0,
1994,Group Stage,Group A,Romania,Switzerland,1.0,4.0,
